//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 12-8-2022
//--  Time: 16:18
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490.0 Ohms
//--    Temperature1: -40.0(C), 	Resistance 1: 45313 Ohms 
//--    Temperature2: 30(C), 	Resistance 2: 1707 Ohms 
//--    Temperature3: 100(C), 	Resistance 3: 187 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
576	57.31	573 	2.813
577	57.14	571 	2.817
578	56.97	570 	2.822
579	56.80	568 	2.827
580	56.62	566 	2.832
581	56.45	565 	2.837
582	56.28	563 	2.842
583	56.11	561 	2.847
584	55.93	559 	2.852
585	55.76	558 	2.856
586	55.59	556 	2.861
587	55.41	554 	2.866
588	55.24	552 	2.871
589	55.07	551 	2.876
590	54.90	549 	2.881
591	54.72	547 	2.886
592	54.55	546 	2.891
593	54.38	544 	2.896
594	54.21	542 	2.900
595	54.03	540 	2.905
596	53.86	539 	2.910
597	53.69	537 	2.915
598	53.52	535 	2.920
599	53.34	533 	2.925
600	53.17	532 	2.930
601	53.00	530 	2.935
602	52.82	528 	2.939
603	52.65	527 	2.944
604	52.48	525 	2.949
605	52.31	523 	2.954
606	52.13	521 	2.959
607	51.96	520 	2.964
608	51.79	518 	2.969
609	51.61	516 	2.974
610	51.44	514 	2.979
611	51.27	513 	2.983
612	51.09	511 	2.988
613	50.92	509 	2.993
614	50.75	507 	2.998
615	50.57	506 	3.003
616	50.40	504 	3.008
617	50.23	502 	3.013
618	50.05	501 	3.018
619	49.88	499 	3.022
620	49.71	497 	3.027
621	49.53	495 	3.032
622	49.36	494 	3.037
623	49.19	492 	3.042
624	49.01	490 	3.047
625	48.84	488 	3.052
626	48.66	487 	3.057
627	48.49	485 	3.062
628	48.32	483 	3.066
629	48.14	481 	3.071
630	47.97	480 	3.076
631	47.79	478 	3.081
632	47.62	476 	3.086
633	47.45	474 	3.091
634	47.27	473 	3.096
635	47.10	471 	3.101
636	46.92	469 	3.105
637	46.75	467 	3.110
638	46.57	466 	3.115
639	46.40	464 	3.120
640	46.22	462 	3.125
641	46.05	460 	3.130
642	45.87	459 	3.135
643	45.70	457 	3.140
644	45.52	455 	3.145
645	45.35	453 	3.149
646	45.17	452 	3.154
647	45.00	450 	3.159
648	44.82	448 	3.164
649	44.64	446 	3.169
650	44.47	445 	3.174
651	44.29	443 	3.179
652	44.12	441 	3.184
653	43.94	439 	3.188
654	43.76	438 	3.193
655	43.59	436 	3.198
656	43.41	434 	3.203
657	43.24	432 	3.208
658	43.06	431 	3.213
659	42.88	429 	3.218
660	42.71	427 	3.223
661	42.53	425 	3.228
662	42.35	424 	3.232
663	42.17	422 	3.237
664	42.00	420 	3.242
665	41.82	418 	3.247
666	41.64	416 	3.252
667	41.46	415 	3.257
668	41.29	413 	3.262
669	41.11	411 	3.267
670	40.93	409 	3.271
671	40.75	408 	3.276
672	40.57	406 	3.281
673	40.39	404 	3.286
674	40.22	402 	3.291
675	40.04	400 	3.296
676	39.86	399 	3.301
677	39.68	397 	3.306
678	39.50	395 	3.311
679	39.32	393 	3.315
680	39.14	391 	3.320
681	38.96	390 	3.325
682	38.78	388 	3.330
683	38.60	386 	3.335
684	38.42	384 	3.340
685	38.24	382 	3.345
686	38.06	381 	3.350
687	37.88	379 	3.354
688	37.70	377 	3.359
689	37.52	375 	3.364
690	37.34	373 	3.369
691	37.15	372 	3.374
692	36.97	370 	3.379
693	36.79	368 	3.384
694	36.61	366 	3.389
695	36.43	364 	3.394
696	36.24	362 	3.398
697	36.06	361 	3.403
698	35.88	359 	3.408
699	35.70	357 	3.413
700	35.51	355 	3.418
701	35.33	353 	3.423
702	35.15	351 	3.428
703	34.96	350 	3.433
704	34.78	348 	3.438
705	34.60	346 	3.442
706	34.41	344 	3.447
707	34.23	342 	3.452
708	34.04	340 	3.457
709	33.86	339 	3.462
710	33.67	337 	3.467
711	33.49	335 	3.472
712	33.30	333 	3.477
713	33.12	331 	3.481
714	32.93	329 	3.486
715	32.74	327 	3.491
716	32.56	326 	3.496
717	32.37	324 	3.501
718	32.18	322 	3.506
719	32.00	320 	3.511
720	31.81	318 	3.516
721	31.62	316 	3.521
722	31.43	314 	3.525
723	31.25	312 	3.530
724	31.06	311 	3.535
725	30.87	309 	3.540
726	30.68	307 	3.545
727	30.49	305 	3.550
728	30.30	303 	3.555
729	30.11	301 	3.560
730	29.92	299 	3.564
731	29.73	297 	3.569
732	29.54	295 	3.574
733	29.35	294 	3.579
734	29.16	292 	3.584
735	28.97	290 	3.589
736	28.78	288 	3.594
737	28.59	286 	3.599
738	28.39	284 	3.604
739	28.20	282 	3.608
740	28.01	280 	3.613
741	27.81	278 	3.618
742	27.62	276 	3.623
743	27.43	274 	3.628
744	27.23	272 	3.633
745	27.04	270 	3.638
746	26.85	268 	3.643
747	26.65	267 	3.647
748	26.46	265 	3.652
749	26.26	263 	3.657
750	26.06	261 	3.662
751	25.87	259 	3.667
752	25.67	257 	3.672
753	25.47	255 	3.677
754	25.28	253 	3.682
755	25.08	251 	3.687
756	24.88	249 	3.691
757	24.68	247 	3.696
758	24.49	245 	3.701
759	24.29	243 	3.706
760	24.09	241 	3.711
761	23.89	239 	3.716
762	23.69	237 	3.721
763	23.49	235 	3.726
764	23.29	233 	3.730
765	23.09	231 	3.735
766	22.88	229 	3.740
767	22.68	227 	3.745
768	22.48	225 	3.750
769	22.28	223 	3.755
770	22.07	221 	3.760
771	21.87	219 	3.765
772	21.67	217 	3.770
773	21.46	215 	3.774
774	21.26	213 	3.779
775	21.05	211 	3.784
776	20.85	208 	3.789
777	20.64	206 	3.794
778	20.43	204 	3.799
779	20.23	202 	3.804
780	20.02	200 	3.809
781	19.81	198 	3.813
782	19.61	196 	3.818
783	19.40	194 	3.823
784	19.19	192 	3.828
785	18.98	190 	3.833
786	18.77	188 	3.838
787	18.56	186 	3.843
788	18.35	183 	3.848
789	18.14	181 	3.853
790	17.92	179 	3.857
791	17.71	177 	3.862
792	17.50	175 	3.867
793	17.28	173 	3.872
794	17.07	171 	3.877
795	16.86	169 	3.882
796	16.64	166 	3.887
797	16.43	164 	3.892
798	16.21	162 	3.896
799	15.99	160 	3.901
800	15.78	158 	3.906
801	15.56	156 	3.911
802	15.34	153 	3.916
803	15.12	151 	3.921
804	14.90	149 	3.926
805	14.68	147 	3.931
806	14.46	145 	3.936
807	14.24	142 	3.940
808	14.02	140 	3.945
809	13.80	138 	3.950
810	13.58	136 	3.955
811	13.35	134 	3.960
812	13.13	131 	3.965
813	12.90	129 	3.970
814	12.68	127 	3.975
815	12.45	125 	3.979
816	12.23	122 	3.984
817	12.00	120 	3.989
818	11.77	118 	3.994
819	11.54	115 	3.999
820	11.31	113 	4.004
821	11.08	111 	4.009
822	10.85	109 	4.014
823	10.62	106 	4.019
824	10.39	104 	4.023
825	10.16	102 	4.028
826	9.93	99 	4.033
827	9.69	97 	4.038
828	9.46	95 	4.043
829	9.22	92 	4.048
830	8.99	90 	4.053
831	8.75	87 	4.058
832	8.51	85 	4.063
833	8.27	83 	4.067
834	8.03	80 	4.072
835	7.79	78 	4.077
836	7.55	76 	4.082
837	7.31	73 	4.087
838	7.07	71 	4.092
839	6.83	68 	4.097
840	6.58	66 	4.102
841	6.34	63 	4.106
842	6.09	61 	4.111
843	5.84	58 	4.116
844	5.60	56 	4.121
845	5.35	53 	4.126
846	5.10	51 	4.131
847	4.85	48 	4.136
848	4.60	46 	4.141
849	4.35	43 	4.146
850	4.09	41 	4.150
851	3.84	38 	4.155
852	3.59	36 	4.160
853	3.33	33 	4.165
854	3.07	31 	4.170
855	2.82	28 	4.175
856	2.56	26 	4.180
857	2.30	23 	4.185
858	2.04	20 	4.189
859	1.77	18 	4.194
860	1.51	15 	4.199
861	1.25	12 	4.204
862	0.98	10 	4.209
863	0.72	7 	4.214
864	0.45	4 	4.219
865	0.18	2 	4.224
866	-0.09	-1 	4.229
867	-0.36	-4 	4.233
868	-0.63	-6 	4.238
869	-0.90	-9 	4.243
870	-1.18	-12 	4.248
871	-1.45	-15 	4.253
872	-1.73	-17 	4.258
873	-2.01	-20 	4.263
874	-2.29	-23 	4.268
875	-2.57	-26 	4.272
876	-2.85	-28 	4.277
877	-3.13	-31 	4.282
878	-3.42	-34 	4.287
879	-3.70	-37 	4.292
880	-3.99	-40 	4.297
881	-4.28	-43 	4.302
882	-4.57	-46 	4.307
883	-4.86	-49 	4.312
884	-5.15	-52 	4.316
885	-5.45	-54 	4.321
886	-5.74	-57 	4.326
887	-6.04	-60 	4.331
888	-6.34	-63 	4.336
889	-6.64	-66 	4.341
890	-6.94	-69 	4.346
891	-7.25	-72 	4.351
892	-7.55	-76 	4.355
893	-7.86	-79 	4.360
894	-8.17	-82 	4.365
895	-8.48	-85 	4.370
896	-8.79	-88 	4.375
897	-9.10	-91 	4.380
898	-9.42	-94 	4.385
899	-9.74	-97 	4.390
900	-10.06	-101 	4.395
901	-10.38	-104 	4.399
902	-10.70	-107 	4.404
903	-11.03	-110 	4.409
904	-11.35	-114 	4.414
905	-11.68	-117 	4.419
906	-12.01	-120 	4.424
907	-12.35	-123 	4.429
908	-12.68	-127 	4.434
909	-13.02	-130 	4.438
910	-13.36	-134 	4.443
911	-13.70	-137 	4.448
912	-14.05	-140 	4.453
913	-14.39	-144 	4.458
914	-14.74	-147 	4.463
915	-15.09	-151 	4.468
916	-15.45	-154 	4.473
917	-15.80	-158 	4.478
918	-16.16	-162 	4.482
919	-16.53	-165 	4.487
920	-16.89	-169 	4.492
921	-17.26	-173 	4.497
922	-17.63	-176 	4.502
923	-18.00	-180 	4.507
924	-18.37	-184 	4.512
925	-18.75	-188 	4.517
926	-19.13	-191 	4.521
927	-19.52	-195 	4.526
928	-19.90	-199 	4.531
929	-20.29	-203 	4.536
930	-20.69	-207 	4.541
931	-21.08	-211 	4.546
932	-21.48	-215 	4.551
933	-21.89	-219 	4.556
934	-22.29	-223 	4.561
